"","%IncMSE","%IncMSE.pval","IncNodePurity","IncNodePurity.pval"
"X1.4.D.xylobiose",3.28334273176106,0.0198019801980198,0.0190989149924,0.405940594059406
"Unknown.155",3.22367700540862,0.0099009900990099,0.0527613058362571,0.0495049504950495
"Unknown.052",3.20890587674412,0.0297029702970297,0.0493504474636092,0.0693069306930693
"myo.inositol",3.18495645631924,0.0396039603960396,0.0181961517134671,0.217821782178218
"Unknown.077",3.17237112344387,0.0594059405940594,0.0118231318510964,0.495049504950495
"galactinol",3.10260923445275,0.0297029702970297,0.0401757153069608,0.0693069306930693
"Unknown.113",3.08387994076166,0.0099009900990099,0.0472617543298793,0.0297029702970297
"Unknown.162",3.02630807327561,0.0297029702970297,0.00574283501969455,0.712871287128713
"Unknown.065",2.9951157600272,0.0396039603960396,0.0244958978583886,0.257425742574257
"Unknown.138",2.94963268940015,0.0495049504950495,0.0274265013962237,0.0792079207920792
"Unknown.174",2.78149148334014,0.0198019801980198,0.0105788492936877,0.386138613861386
"Unknown.055",2.76584092290217,0.0396039603960396,0.00673183460745983,0.663366336633663
"succinic.acid",2.72045557617219,0.0198019801980198,0.00563354876816379,0.792079207920792
"quinic.acid",2.6167036236438,0.0495049504950495,0.0135484054337501,0.306930693069307
"L.valine",2.58291780366831,0.0693069306930693,0.0119948214641539,0.386138613861386
"Unknown.061",2.53276906118207,0.0297029702970297,0.0103985579888975,0.831683168316832
"Unknown.124",2.51630810088511,0.0396039603960396,0.00762927970317564,0.415841584158416
"Unknown.054.1",2.50357234673192,0.0396039603960396,0.0259665309324895,0.237623762376238
"Unknown.108",2.50299228922431,0.0396039603960396,0.00624223603288511,0.732673267326733
"carbonate.ion",2.5020065435803,0.0495049504950495,0.0131324373995645,0.712871287128713
"Unknown.005",2.49781485444612,0.0495049504950495,0.00563272659424839,0.702970297029703
"Unknown.131",2.47993879363774,0.0297029702970297,0.0181613811775243,0.0792079207920792
